cl_10077666	3
cl_10096001	3
cl_10316645	3
cl_10322903	3
cl_10568	3
cl_10626740	3
cl_1101933	3
cl_11029315	3
cl_11073216	3
cl_11137341	3
cl_11267574	3
cl_11279514	3
cl_11358891	3
cl_11401017	3
cl_11466245	3
cl_11472713	3
cl_11484058	3
cl_11496009	3
cl_11549797	3
cl_11870444	3
cl_12027879	3
cl_12201068	3
cl_12202929	3
cl_12223764	3
cl_12438362	3
cl_12531749	3
cl_12875925	3
cl_12934775	3
cl_12978452	3
cl_12997116	3
cl_12997583	3
cl_13014937	3
cl_13021007	3
cl_13088194	3
cl_13170670	3
cl_13191592	3
cl_13256947	3
cl_13257313	3
cl_13523233	3
cl_13543938	3
cl_13705709	3
cl_13786765	3
cl_13789010	3
cl_13793864	3
cl_14104727	3
cl_14164172	3
cl_14226901	3
cl_14439510	3
cl_14646364	3
cl_14659994	3
cl_146719	3
cl_14693125	3
cl_14695262	3
cl_14700259	3
cl_14729668	3
cl_15197240	3
cl_15235687	3
cl_15235711	3
cl_15235943	3
cl_15235966	3
cl_15240771	3
cl_15243153	3
cl_15826	3
cl_1794796	3
cl_1881285	3
cl_1926356	3
cl_1927334	3
cl_2158117	3
cl_2246227	3
cl_2249757	3
cl_2254443	3
cl_2254444	3
cl_2313885	3
cl_2631550	3
cl_2645464	3
cl_2658757	3
cl_2660756	3
cl_2677481	3
cl_2881540	3
cl_2893772	3
cl_31584	3
cl_3199886	3
cl_3264629	3
cl_3317857	3
cl_3325225	3
cl_340069	3
cl_3422216	3
cl_3770037	3
cl_3867191	3
cl_4039145	3
cl_4065885	3
cl_4156782	3
cl_42146	3
cl_4258715	3
cl_4280407	3
cl_4281667	3
cl_4293955	3
cl_4299489	3
cl_4309	3
cl_4688739	3
cl_4697665	3
cl_4707902	3
cl_4769692	3
cl_4776239	3
cl_4782450	3
cl_4843520	3
cl_4990726	3
cl_5058770	3
cl_5217513	3
cl_5218714	3
cl_5226170	3
cl_5240	3
cl_5293561	3
cl_5392555	3
cl_5452287	3
cl_5462935	3
cl_5479732	3
cl_5481252	3
cl_5616856	3
cl_5745918	3
cl_5767429	3
cl_585243	3
cl_5929	3
cl_5973969	3
cl_5998094	3
cl_6010366	3
cl_6014127	3
cl_6019577	3
cl_6028437	3
cl_6032541	3
cl_6032547	3
cl_6038227	3
cl_6050889	3
cl_6057522	3
cl_6059250	3
cl_6066515	3
cl_6099462	3
cl_6197091	3
cl_6231986	3
cl_6235285	3
cl_6235614	3
cl_6306319	3
cl_6359445	3
cl_6767960	3
cl_691444	3
cl_707928	3
cl_7084240	3
cl_717420	3
cl_7443282	3
cl_7571056	3
cl_7572787	3
cl_7579682	3
cl_7619249	3
cl_768952	3
cl_7732891	3
cl_7748141	3
cl_7753924	3
cl_7881796	3
cl_7900893	3
cl_8068831	3
cl_8121500	3
cl_8181241	3
cl_8215035	3
cl_8220388	3
cl_8251349	3
cl_8299587	3
cl_8515577	3
cl_8606783	3
cl_8667410	3
cl_8955559	3
cl_8955690	3
cl_9024586	3
cl_9242388	3
cl_9377773	3
cl_9771391	3
cl_10000428	2
cl_10000453	2
cl_10000935	2
cl_10001149	2
cl_10001341	2
cl_10001477	2
cl_10001970	2
cl_10002013	2
cl_10002535	2
cl_10003079	2
cl_1000315	2
cl_10003235	2
cl_10003934	2
cl_10003955	2
cl_10004098	2
cl_10004245	2
cl_10004267	2
